key,context,bg,en
title,page title,"ProceMag - Управление на производствения процес","ProceMag - Production Process Management"
nav.modules,header navigation,"Модули","Modules"
nav.about,header navigation,"За Нас","About"
nav.contact,header navigation,"Контакти","Contact"
hero.h1,hero heading,"Не просто ERP, а Procemag","Not just ERP — ProceMag"
hero.p,hero paragraph,"Пълна информация в реално време за състоянието на всички производствени поръчки и партиди.","Real-time information about the status of all production orders and batches."
hero.cta,hero button,"Изпрати Запитване","Send Inquiry"
main.title,main section title,"Управление на производствения процес","Production Process Management"
card1.title,feature card,"Производствен модел","Production Model"
card1.li1,feature item,"Технологични карти с последователност от операции","Routing sheets with operation sequences"
card1.li2,feature item,"Разходни норми на суровини и материали","Material consumption norms"
card1.li3,feature item,"Специфична индивидуализация по размери","Size-specific customization"
card2.title,feature card,"Контрол в реално време","Real-time Control"
card2.li1,feature item,"Прецизно следене на текущите наличности","Precise tracking of current inventory"
card2.li2,feature item,"Оптимално планиране на човешкия ресурс","Optimal human resources planning"
card2.li3,feature item,"Пълен контрол на детайлните експедиции","Full control over detailed dispatches"
card3.title,feature card,"Анализ и Себестойност","Analysis & Costing"
card3.li1,feature item,"Реално оперативлно натрупване на разходи","Real operational cost accumulation"
card3.li2,feature item,"Следене на текущ ремонт и технически престои","Tracking maintenance and technical downtimes"
card3.li3,feature item,"Ефективно управление на производствените отпадъци","Efficient management of production waste"
about.title,about section,"За Проекта","About the Project"
about.paragraph,about text,"ProceMag е специализирана система, разработена да отговори на специфичните нужди на производствените предприятия. Нашата цел е да елиминираме информационното закъснение в цеховете, като предоставим на мениджмънта и операторите гъвкави софтуерни инструменти за контрол, анализ на себестойността и оперативно проследяване на суровините от входа на склада до готовата продукция.","ProceMag is a specialized system designed to meet the unique needs of manufacturing businesses. Our goal is to remove information delays on the shop floor by providing managers and operators with flexible software tools for control, cost analysis, and end-to-end material tracking from warehouse entry to finished goods."
author.name,about caption,"П. Шишков","P. Shishkov"
author.role,about caption,"Собственик / Консултант","Owner / Consultant"
contact.title,contact heading,"Свържете се с нас","Contact Us"
contact.name.label,contact form,"Вашето Име","Your Name"
contact.name.placeholder,contact form placeholder,"Иван Иванов","Ivan Ivanov"
contact.email.label,contact form,"Имейл адрес","Email address"
contact.email.placeholder,contact form placeholder,"name@procemag.com","name@procemag.com"
contact.message.label,contact form,"Съобщение","Message"
contact.message.placeholder,contact form placeholder,"Опишете вашето запитване за ERP системата...","Describe your inquiry about the ERP system..."
contact.submit,contact button,"Изпрати запитване","Send Inquiry"
footer.copy,footer,"© 2026 ProceMag.com. Всички права запазени. Система за управление на производството.","© 2026 ProceMag.com. All rights reserved. Production management system."
modal.old.title,modal,"Стара версия","Old version"
script.form.key.warning,scripts,"Моля, въведете вашия Web3Forms access key в полето, преди да изпратите формуляра.","Please enter your Web3Forms access key in the field before submitting the form."
